시설종류,대상시설명,소재지도로명주소,위도,경도,관리기관명,관할경찰서명,CCTV설치여부,지정일자,지정근거,지정절차
초등학교,양지초등학교,세종특별자치시 보듬8로 11,36.51843983,127.2603107,세종특별자치시,세종남부경찰서,Y,2014-11-01,도로교통법 제12조 및 어린이·노인·장애인 보호구역 지정 및 관리에 관한 규칙 제2조 제3조,신청(대상시설의 장)+조사+지정협의(경찰청장)+지정(시장/주출입문 기준 반경 300m 이내 도로 중 일정구간)
초등학교,여울초등학교,세종특별자치시 보람1길 9,36.47624231,127.2849721,세종특별자치시,세종남부경찰서,Y,2017-07-14,도로교통법 제12조 및 어린이·노인·장애인 보호구역 지정 및 관리에 관한 규칙 제2조 제3조,신청(대상시설의 장)+조사+지정협의(경찰청장)+지정(시장/주출입문 기준 반경 300m 이내 도로 중 일정구간)
초등학교,연남초등학교,세종특별자치시 연기면 연기길 2,36.5438807,127.2778485,세종특별자치시,세종남부경찰서,N,1997-04-01,도로교통법 제12조 및 어린이·노인·장애인 보호구역 지정 및 관리에 관한 규칙 제2조 제3조,신청(대상시설의 장)+조사+지정협의(경찰청장)+지정(시장/주출입문 기준 반경 300m 이내 도로 중 일정구간)
초등학교,연동초등학교,세종특별자치시 연동면 청연로 606-36,36.55959054,127.3259509,세종특별자치시,세종북부경찰서,N,2006-10-20,도로교통법 제12조 및 어린이·노인·장애인 보호구역 지정 및 관리에 관한 규칙 제2조 제3조,신청(대상시설의 장)+조사+지정협의(경찰청장)+지정(시장/주출입문 기준 반경 300m 이내 도로 중 일정구간)
초등학교,연봉초등학교,세종특별자치시 연서면 당산로 357-1,36.56444493,127.2820927,세종특별자치시,세종북부경찰서,Y,1997-04-01,도로교통법 제12조 및 어린이·노인·장애인 보호구역 지정 및 관리에 관한 규칙 제2조 제3조,신청(대상시설의 장)+조사+지정협의(경찰청장)+지정(시장/주출입문 기준 반경 300m 이내 도로 중 일정구간)
초등학교,연서초등학교,세종특별자치시 연서면 연서로 148,36.5829841,127.2543539,세종특별자치시,세종북부경찰서,Y,2006-10-20,도로교통법 제12조 및 어린이·노인·장애인 보호구역 지정 및 관리에 관한 규칙 제2조 제3조,신청(대상시설의 장)+조사+지정협의(경찰청장)+지정(시장/주출입문 기준 반경 300m 이내 도로 중 일정구간)
초등학교,연세초등학교,세종특별자치시 다솜로 291,36.50575533,127.2718386,세종특별자치시,세종남부경찰서,N,2013-10-30,도로교통법 제12조 및 어린이·노인·장애인 보호구역 지정 및 관리에 관한 규칙 제2조 제3조,신청(대상시설의 장)+조사+지정협의(경찰청장)+지정(시장/주출입문 기준 반경 300m 이내 도로 중 일정구간)
초등학교,연양초등학교,세종특별자치시 도움3로 37,36.50305592,127.2559281,세종특별자치시,세종남부경찰서,Y,2015-03-02,도로교통법 제12조 및 어린이·노인·장애인 보호구역 지정 및 관리에 관한 규칙 제2조 제3조,신청(대상시설의 장)+조사+지정협의(경찰청장)+지정(시장/주출입문 기준 반경 300m 이내 도로 중 일정구간)
초등학교,온빛초등학교,세종특별자치시 만남로 174,36.51462625,127.2403725,세종특별자치시,세종남부경찰서,Y,2015-03-02,도로교통법 제12조 및 어린이·노인·장애인 보호구역 지정 및 관리에 관한 규칙 제2조 제3조,신청(대상시설의 장)+조사+지정협의(경찰청장)+지정(시장/주출입문 기준 반경 300m 이내 도로 중 일정구간)
초등학교,으뜸초등학교,세종특별자치시 마음로 132,36.50965792,127.2310428,세종특별자치시,세종남부경찰서,Y,2015-03-02,도로교통법 제12조 및 어린이·노인·장애인 보호구역 지정 및 관리에 관한 규칙 제2조 제3조,신청(대상시설의 장)+조사+지정협의(경찰청장)+지정(시장/주출입문 기준 반경 300m 이내 도로 중 일정구간)
초등학교,의랑초등학교,세종특별자치시 장군면 태산길 50-1,36.54989834,127.1903112,세종특별자치시,세종남부경찰서,N,1995-12-31,도로교통법 제12조 및 어린이·노인·장애인 보호구역 지정 및 관리에 관한 규칙 제2조 제3조,신청(대상시설의 장)+조사+지정협의(경찰청장)+지정(시장/주출입문 기준 반경 300m 이내 도로 중 일정구간)
