사고번호,사고일시,요일,시군구,사고내용,사망자수,중상자수,경상자수,부상신고자수,사고유형,법규위반,노면상태,기상상태,도로형태,가해운전자 차종,가해운전자 성별,가해운전자 연령,가해운전자 상해정도,피해운전자 차종,피해운전자 성별,피해운전자 연령,피해운전자 상해정도
2022062400100509,2022년 6월 24일 18시,금요일,세종특별자치시 아름동,부상신고사고,0,0,0,1,차대사람 - 기타,안전운전불이행,건조,맑음,단일로 - 기타,개인형이동수단(PM),남,20세 이하,상해없음,보행자,여,12세 이하,부상신고
2022062500100225,2022년 6월 25일 11시,토요일,세종특별자치시 나성동,부상신고사고,0,0,0,1,차대사람 - 기타,안전운전불이행,건조,맑음,교차로 - 교차로횡단보도내,이륜,남,39세,상해없음,보행자,남,12세 이하,부상신고
2022062500100276,2022년 6월 25일 12시,토요일,세종특별자치시 장군면,경상사고,0,0,2,0,차대차 - 기타,안전운전불이행,건조,맑음,단일로 - 기타,승용,여,51세,상해없음,승용,남,54세,경상
2022062500100541,2022년 6월 25일 19시,토요일,세종특별자치시 부강면,경상사고,0,0,2,0,차대차 - 측면충돌,직진우회전진행방해,건조,맑음,교차로 - 교차로안,승용,여,50세,상해없음,승용,남,81세 이상,경상
2022062500100609,2022년 6월 25일 21시,토요일,세종특별자치시 소담동,경상사고,0,0,1,0,차대사람 - 기타,안전운전불이행,건조,맑음,단일로 - 기타,자전거,남,61세,상해없음,보행자,여,40세,경상
2022062500100630,2022년 6월 25일 22시,토요일,세종특별자치시 도담동,부상신고사고,0,0,0,1,차대차 - 기타,신호위반,건조,맑음,교차로 - 교차로안,승용,남,48세,상해없음,개인형이동수단(PM),여,26세,부상신고
2022062600100053,2022년 6월 26일 06시,일요일,세종특별자치시 조치원읍,중상사고,0,1,0,0,차대사람 - 횡단중,보행자보호의무위반,건조,맑음,교차로 - 교차로횡단보도내,승용,남,42세,상해없음,보행자,남,81세 이상,중상
2022062600100087,2022년 6월 26일 09시,일요일,세종특별자치시 나성동,경상사고,0,0,1,0,차량단독 - 기타,기타,건조,맑음,교차로 - 교차로안,승용,여,77세,경상,,,,
2022062600100227,2022년 6월 26일 15시,일요일,세종특별자치시 조치원읍,경상사고,0,0,2,0,차대차 - 기타,신호위반,건조,맑음,교차로 - 교차로안,화물,남,54세,상해없음,승용,남,74세,경상
2022062600100316,2022년 6월 26일 18시,일요일,세종특별자치시 대평동,경상사고,0,0,1,0,차대차 - 측면충돌,안전운전불이행,건조,맑음,단일로 - 기타,승용,여,47세,상해없음,개인형이동수단(PM),남,19세,경상
2022062700100542,2022년 6월 27일 22시,월요일,세종특별자치시 새롬동,중상사고,0,1,0,1,차대사람 - 횡단중,보행자보호의무위반,건조,흐림,교차로 - 교차로안,이륜,남,20세 이하,부상신고,보행자,여,51세,중상
2022062800100104,2022년 6월 28일 08시,화요일,세종특별자치시 산울동,경상사고,0,0,1,0,차대차 - 측면충돌,안전거리미확보,건조,맑음,단일로 - 기타,승용,여,36세,상해없음,승용,남,35세,경상
2022062800100112,2022년 6월 28일 09시,화요일,세종특별자치시 금남면,중상사고,0,1,0,0,차량단독 - 공작물충돌,기타,건조,맑음,단일로 - 기타,화물,남,72세,중상,,,,
2022062800100220,2022년 6월 28일 12시,화요일,세종특별자치시 조치원읍,경상사고,0,0,3,0,차대차 - 추돌,안전거리미확보,건조,맑음,단일로 - 기타,화물,남,54세,상해없음,승용,남,55세,경상
2022062800100364,2022년 6월 28일 16시,화요일,세종특별자치시 고운동,중상사고,0,2,0,0,차대차 - 측면충돌,신호위반,건조,맑음,교차로 - 교차로안,승용,남,49세,기타불명,승용,남,30세,중상
2022062900100151,2022년 6월 29일 09시,수요일,세종특별자치시 어진동,중상사고,0,1,0,0,차대차 - 기타,기타,젖음/습기,비,단일로 - 기타,승합,남,45세,상해없음,승용,여,26세,상해없음
2022062900100234,2022년 6월 29일 12시,수요일,세종특별자치시 전동면,중상사고,0,1,0,0,차대차 - 기타,안전거리미확보,건조,흐림,단일로 - 기타,화물,남,54세,기타불명,승용,남,60세,중상
